ID_code,target
test_120096,0.010749503038823605
test_65507,0.011555763892829418
test_189520,0.0036774431355297565
test_20471,0.5724500417709351
test_1221,0.08513515442609787
test_134677,0.20307466387748718
test_131393,0.007024588994681835
test_171106,0.020981844514608383
test_171621,0.01713143102824688
test_74501,0.049178291112184525
test_120811,0.0005016031791456044
test_70015,0.06193549558520317
test_42913,0.0038473012391477823
test_146923,0.0008663895423524082
test_191865,0.011221368797123432
test_108884,0.06457690894603729
test_66587,0.019978933036327362
test_103311,0.02395153045654297
test_98317,0.36679473519325256
test_105340,0.018164630979299545
test_191423,0.2886965274810791
test_39938,0.0012989387614652514
test_150204,0.0008744901861064136
test_143649,0.12576180696487427
test_12781,0.0040772221982479095
test_38376,0.10767044872045517
test_186790,0.011128135025501251
test_71910,0.02802177704870701
test_20154,0.22950896620750427
test_179815,0.008457639254629612
test_20649,0.21378368139266968
test_62307,0.8021420240402222
test_32971,0.006199576426297426
test_120292,0.10902033746242523
test_109145,0.0766897052526474
test_8555,0.052877720445394516
test_65509,0.1308142989873886
test_2334,0.007723487447947264
test_56079,0.3108580708503723
test_127435,0.0189762394875288
test_192189,0.036029964685440063
test_171992,0.18693313002586365
test_166224,0.4075585603713989
test_68527,0.03232265263795853
test_113635,0.3308766186237335
test_95949,0.009448947384953499
test_143659,0.012247549369931221
test_175777,0.005958165042102337
test_153092,0.009430434554815292
test_92303,0.09277567267417908
test_181190,0.003920271992683411
test_118083,0.020663700997829437
test_153710,0.005135631188750267
test_1675,0.0722459927201271
test_83071,0.008737516589462757
test_127378,0.07491206377744675
test_85256,0.00174776092171669
test_183637,0.0058237044140696526
test_58652,0.06371749937534332
test_17938,0.03234131634235382
test_195361,0.5250460505485535
test_197351,0.8931173086166382
test_45864,0.05857592076063156
test_32569,0.23517952859401703
test_25638,0.007674131542444229
test_119375,0.5425739288330078
test_133608,0.0051102708093822
test_26847,0.11706672608852386
test_115113,0.05894061177968979
test_199295,0.2320370227098465
test_32506,0.17632153630256653
test_81259,0.02536044269800186
test_185780,0.016237469390034676
test_79370,0.042480356991291046
test_106101,0.14926907420158386
test_182192,0.10020721703767776
test_171013,0.0011141765862703323
test_80074,0.15316012501716614
test_183422,0.036985110491514206
test_103064,0.14735035598278046
test_63152,0.2337139993906021
test_70516,0.19043771922588348
test_93545,0.030451245605945587
test_47214,0.11179222911596298
test_185790,0.022313974797725677
test_175330,0.010088000446557999
test_37114,0.3427983224391937
test_107807,0.19082951545715332
test_60107,0.03153163194656372
test_123275,0.003217846853658557
test_26519,0.1570149064064026
test_78735,0.1543242335319519
test_108362,0.018533488735556602
test_3356,0.0061119901947677135
test_67661,0.0002765855460893363
test_38621,0.002094711409881711
test_153444,0.0012942521134391427
test_173801,0.00844152644276619
test_140137,0.04170968011021614
test_106829,0.10669200122356415
test_87218,0.005317914765328169
test_109330,0.00749402167275548
test_165039,0.00791774969547987
test_91497,0.5385903120040894
test_141046,0.010287155397236347
test_17618,0.161386638879776
test_127537,0.12933094799518585
test_19823,0.0356798879802227
test_36119,0.0441451370716095
test_3536,0.0135673051699996
test_51551,0.0015771555481478572
test_35263,0.022740349173545837
test_172022,0.008698785677552223
test_97858,0.010383648797869682
test_23358,0.02957170270383358
test_40148,0.00125808862503618
test_117426,0.416483610868454
test_41754,0.00023756551672704518
test_62630,0.042499564588069916
test_165539,0.03216074779629707
test_178676,0.0008817060734145343
test_4881,0.19322001934051514
test_40947,0.16263796389102936
test_109051,0.002497908426448703
test_56324,0.005520532373338938
test_143656,0.008616240695118904
test_115099,0.00768606923520565
test_83314,0.0069054472260177135
test_42194,0.005328054074198008
test_89074,0.15376153588294983
test_188685,0.7301959991455078
test_132604,0.034593913704156876
test_55212,0.151163712143898
test_145614,0.010491135530173779
